"","","","","/項目 コード","A1101","A1301","A1302","A1303"
"地域 コード","地域","調査年 コード","調査年","/項目","A1101_総人口【人】","A1301_15歳未満人口【人】","A1302_15～64歳人口【人】","A1303_65歳以上人口【人】"
"01227","北海道 歌志内市","2020100000","2020年度","","2,989","142","1,252","1,592"
"01227","北海道 歌志内市","2015100000","2015年度","","3,585","217","1,696","1,672"
"01227","北海道 歌志内市","2010100000","2010年度","","4,387","337","2,242","1,808"
"01227","北海道 歌志内市","2005100000","2005年度","","5,221","446","2,854","1,921"
"01227","北海道 歌志内市","2000100000","2000年度","","5,941","564","3,438","1,939"
"01227","北海道 歌志内市","1995100000","1995年度","","6,867","843","4,225","1,799"
"01227","北海道 歌志内市","1990100000","1990年度","","8,279","1,291","5,370","1,618"
"01227","北海道 歌志内市","1985100000","1985年度","","9,612","1,634","6,476","1,502"
"01227","北海道 歌志内市","1980100000","1980年度","","10,178","1,750","7,094","1,334"
"01228","北海道 深川市","2020100000","2020年度","","20,039","1,634","9,802","8,544"
"01228","北海道 深川市","2015100000","2015年度","","21,909","1,995","11,281","8,616"
"01228","北海道 深川市","2010100000","2010年度","","23,709","2,295","13,128","8,284"
"01228","北海道 深川市","2005100000","2005年度","","25,838","2,789","15,142","7,905"
"01228","北海道 深川市","2000100000","2000年度","","27,579","3,227","17,179","7,173"
"01228","北海道 深川市","1995100000","1995年度","","28,770","3,819","18,727","6,224"
"01228","北海道 深川市","1990100000","1990年度","","30,671","4,736","20,521","5,395"
"01228","北海道 深川市","1985100000","1985年度","","33,833","6,249","22,868","4,716"
"01228","北海道 深川市","1980100000","1980年度","","35,376","7,556","23,712","4,108"
"01229","北海道 富良野市","2020100000","2020年度","","21,131","2,211","11,512","7,255"
"01229","北海道 富良野市","2015100000","2015年度","","22,936","2,684","13,092","7,096"
"01229","北海道 富良野市","2010100000","2010年度","","24,259","3,155","14,591","6,512"
"01229","北海道 富良野市","2005100000","2005年度","","25,076","3,568","15,338","6,168"
"01229","北海道 富良野市","2000100000","2000年度","","26,112","4,067","16,480","5,565"
"01229","北海道 富良野市","1995100000","1995年度","","26,046","4,394","17,032","4,620"
"01229","北海道 富良野市","1990100000","1990年度","","26,665","4,963","17,828","3,861"
"01229","北海道 富良野市","1985100000","1985年度","","27,876","5,752","18,813","3,311"
"01229","北海道 富良野市","1980100000","1980年度","","28,499","6,444","19,326","2,729"
"01230","北海道 登別市","2020100000","2020年度","","46,391","4,775","24,170","17,287"
"01230","北海道 登別市","2015100000","2015年度","","49,625","5,312","26,948","16,602"
"01230","北海道 登別市","2010100000","2010年度","","51,526","6,086","30,802","14,612"
"01230","北海道 登別市","2005100000","2005年度","","53,135","6,509","33,561","13,065"
"01230","北海道 登別市","2000100000","2000年度","","54,761","7,291","36,369","11,097"
"01230","北海道 登別市","1995100000","1995年度","","56,892","8,349","39,394","9,149"
"01230","北海道 登別市","1990100000","1990年度","","55,571","9,598","38,670","7,293"
"01230","北海道 登別市","1985100000","1985年度","","58,370","12,365","40,308","5,697"
"01230","北海道 登別市","1980100000","1980年度","","56,503","13,563","38,911","4,001"
"01231","北海道 恵庭市","2020100000","2020年度","","70,331","8,701","41,413","19,673"
"01231","北海道 恵庭市","2015100000","2015年度","","69,702","9,132","42,897","17,465"
"01231","北海道 恵庭市","2010100000","2010年度","","69,384","9,690","45,110","14,427"
"01231","北海道 恵庭市","2005100000","2005年度","","67,614","10,211","45,556","11,847"
"01231","北海道 恵庭市","2000100000","2000年度","","65,239","10,620","45,305","9,313"
"01231","北海道 恵庭市","1995100000","1995年度","","62,351","11,334","44,328","6,683"
"01231","北海道 恵庭市","1990100000","1990年度","","55,615","11,479","39,505","4,563"
"01231","北海道 恵庭市","1985100000","1985年度","","48,305","11,327","33,692","3,232"
"01231","北海道 恵庭市","1980100000","1980年度","","42,911","11,110","29,481","2,320"
"01233","北海道 伊達市","2020100000","2020年度","","32,826","3,355","16,832","12,601"
"01233","北海道 伊達市","2015100000","2015年度","","34,995","3,966","18,910","12,107"
"01233","北海道 伊達市","2010100000","2010年度","","36,278","4,276","20,959","11,040"
"01233","北海道 伊達市","2005100000","2005年度","","37,066","4,615","22,437","10,014"
"01233","北海道 伊達市","2000100000","2000年度","","37,139","4,783","23,636","8,718"
"01233","北海道 伊達市","1995100000","1995年度","","36,647","5,460","24,136","7,051"
"01233","北海道 伊達市","1990100000","1990年度","","36,652","6,368","24,424","5,860"
"01233","北海道 伊達市","1985100000","1985年度","","36,922","7,701","24,368","4,853"
"01233","北海道 伊達市","1980100000","1980年度","","36,309","8,433","24,227","3,645"
"01234","北海道 北広島市","2020100000","2020年度","","58,171","6,395","32,140","19,380"
"01234","北海道 北広島市","2015100000","2015年度","","59,064","7,213","34,586","17,103"
"01234","北海道 北広島市","2010100000","2010年度","","60,353","8,083","38,693","13,547"
"01234","北海道 北広島市","2005100000","2005年度","","60,677","8,572","40,553","11,032"
"01234","北海道 北広島市","2000100000","2000年度","","57,731","8,780","40,128","8,723"
"01234","北海道 北広島市","1995100000","1995年度","","53,537","9,529","37,343","6,616"
"01234","北海道 北広島市","1990100000","1990年度","","47,758","10,154","32,762","4,748"
"01234","北海道 北広島市","1985100000","1985年度","","40,853","10,471","27,068","3,291"
"01234","北海道 北広島市","1980100000","1980年度","","34,148","9,635","22,313","2,166"
"01235","北海道 石狩市","2020100000","2020年度","","56,869","6,821","30,645","19,402"
"01235","北海道 石狩市","2015100000","2015年度","","57,436","7,415","32,732","17,229"
"01235","北海道 石狩市","2010100000","2010年度","","59,449","8,063","37,624","13,761"
"01235","北海道 石狩市","2005100000","2005年度","","60,104","8,284","40,225","11,591"
"01235","北海道 石狩市","2000100000","2000年度","","59,734","8,688","40,934","9,701"
"01235","北海道 石狩市","1995100000","1995年度","","57,706","10,117","39,774","7,813"
"01235","北海道 石狩市","1990100000","1990年度","","53,143","11,550","35,822","5,763"
"01235","北海道 石狩市","1985100000","1985年度","","48,015","12,438","31,347","4,228"
"01235","北海道 石狩市","1980100000","1980年度","","40,783","11,101","26,642","3,016"
"01236","北海道 北斗市","2020100000","2020年度","","44,302","5,444","25,434","13,332"
"01236","北海道 北斗市","2015100000","2015年度","","46,390","6,353","27,723","12,297"
"01236","北海道 北斗市","2010100000","2010年度","","48,032","7,217","30,038","10,749"
"01236","北海道 北斗市","2005100000","2005年度","","48,056","7,567","31,035","9,454"
"01236","北海道 北斗市","2000100000","2000年度","","46,804","7,679","31,063","8,061"
"01236","北海道 北斗市","1995100000","1995年度","","43,177","7,412","29,220","6,545"
"01236","北海道 北斗市","1990100000","1990年度","","39,741","7,467","27,179","5,088"
"01236","北海道 北斗市","1985100000","1985年度","","39,841","8,704","26,812","4,309"
"01236","北海道 北斗市","1980100000","1980年度","","39,096","9,206","26,250","3,640"
"01303","北海道 当別町","2020100000","2020年度","","15,916","1,178","8,983","5,553"
"01303","北海道 当別町","2015100000","2015年度","","17,278","1,547","10,453","5,210"
"01303","北海道 当別町","2010100000","2010年度","","18,766","2,158","11,931","4,594"
"01303","北海道 当別町","2005100000","2005年度","","19,982","2,919","13,001","4,052"
"01303","北海道 当別町","2000100000","2000年度","","20,778","3,522","13,732","3,524"
"01303","北海道 当別町","1995100000","1995年度","","19,672","3,537","13,270","2,865"
"01303","北海道 当別町","1990100000","1990年度","","15,825","2,582","11,002","2,241"
"01303","北海道 当別町","1985100000","1985年度","","16,507","3,245","11,418","1,844"
"01303","北海道 当別町","1980100000","1980年度","","17,316","3,781","11,939","1,596"
"01304","北海道 新篠津村","2020100000","2020年度","","3,044","300","1,591","1,142"
"01304","北海道 新篠津村","2015100000","2015年度","","3,329","357","1,872","1,100"
"01304","北海道 新篠津村","2010100000","2010年度","","3,515","402","2,059","1,054"
"01304","北海道 新篠津村","2005100000","2005年度","","3,737","478","2,251","1,008"
"01304","北海道 新篠津村","2000100000","2000年度","","3,940","517","2,519","904"
"01304","北海道 新篠津村","1995100000","1995年度","","3,994","585","2,639","770"
"01304","北海道 新篠津村","1990100000","1990年度","","3,811","674","2,519","618"
